Sample Name	Protocol REF	Parameter Value[instrument]	Parameter Value[manufacturer]	Assay Name	Raw Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URI]	Protocol REF	Derived Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URI]
s44	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s44_070126m	s44_070126m.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s44_070126m.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s44	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s44_070205n	s44_070205n.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s44_070205n.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s44	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s44_070209m	s44_070209m.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s44_070209m.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s44	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s44_070325n	s44_070325n.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s44_070325n.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s45	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s45_070307n	s45_070307n.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s45_070307n.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s45	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s45_070321n	s45_070321n.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s45_070321n.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s48	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s48_080501n	s48_080501n.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s48_080501n.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s49	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s49_080522n	s49_080522n.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s49_080522n.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s49	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s49_080527n	s49_080527n.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s49_080527n.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s49	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s49_080602m	s49_080602m.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s49_080602m.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s50	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s50_080725n	s50_080725n.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s50_080725n.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s50	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s50_080731m	s50_080731m.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s50_080731m.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s52	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s52_081017n	s52_081017n.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s52_081017n.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s53	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s53_081018n	s53_081018n.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s53_081018n.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s53	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s53_090918n	s53_090918n.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s53_090918n.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s53	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s53_090925m	s53_090925m.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s53_090925m.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s54	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s54_081226m	s54_081226m.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s54_081226m.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s55	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s55_090930n	s55_090930n.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s55_090930n.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
